Second,eye_comb_direction_x,eye_comb_direction_y,eye_comb_direction_z,eye_r_openness,eye_r_direction_x,eye_r_direction_y,eye_r_direction_z,eye_r_origin_x,eye_r_origin_y,eye_r_origin_z,eye_r_pupil_diameter,eye_r_pupil_position_x,eye_r_pupil_position_y,eye_l_openness,eye_l_direction_x,eye_l_direction_y,eye_l_direction_z,eye_l_origin_x,eye_l_origin_y,eye_l_origin_z,eye_l_pupil_diameter,eye_l_pupil_position_x,eye_l_pupil_position_y,head_position_x,head_position_y,head_position_z,head_rotation_roll,head_rotation_pitch,head_rotation_yaw,EDA,BVP,TMP
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3094221089106487,-0.06433527450183599,29.027104039167686
0,-0.0196991,-0.1511078,0.9883118,1.0,-0.0003356934,-0.1225891,0.9924469,-29.40868,2.503952,-26.42828,4.67308,0.419177,0.499911,1.0,-0.02093506,-0.1529083,0.9880066,31.75575,4.366989,-26.80899,4.777969,0.5349218,0.4451292,0.1203643,1.179759,-0.3070402,-0.02570095,0.2712096,0.001391816,0.3094221089106487,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-1.0,-1.0,-1.0,0.3881105,0.0,0.0,0.0,-29.27016,2.143433,-26.30969,-1.0,0.4100085,0.5212958,0.4871395,0.0,0.0,0.0,32.73354,4.075333,-26.72516,-1.0,0.6684647,0.4875327,0.1136093,1.180158,-0.3037394,-0.0244808,0.2431334,0.01278013,0.3138694,-0.06433527450183599,29.027104039167686
1,-0.02320862,-0.04582214,0.9986725,1.0,-0.04814148,-0.04515076,0.997818,-30.04131,2.918396,-26.8929,4.881973,0.4479552,0.4777668,1.0,-0.01753235,-0.04597473,0.9987793,31.51294,4.647369,-26.77295,5.0728,0.5427364,0.417345,0.1034814,1.18181,-0.3024676,-0.02921819,0.2131287,0.02512426,0.3138694,-0.06433527450183599,29.027104039167686
