Second,eye_comb_direction_x,eye_comb_direction_y,eye_comb_direction_z,eye_r_openness,eye_r_direction_x,eye_r_direction_y,eye_r_direction_z,eye_r_origin_x,eye_r_origin_y,eye_r_origin_z,eye_r_pupil_diameter,eye_r_pupil_position_x,eye_r_pupil_position_y,eye_l_openness,eye_l_direction_x,eye_l_direction_y,eye_l_direction_z,eye_l_origin_x,eye_l_origin_y,eye_l_origin_z,eye_l_pupil_diameter,eye_l_pupil_position_x,eye_l_pupil_position_y,head_position_x,head_position_y,head_position_z,head_rotation_roll,head_rotation_pitch,head_rotation_yaw,EDA,BVP,TMP
0,-0.09191895,-0.1269226,0.9876404,0.8967456,-0.09529114,-0.1299895999999999,0.9869232,-34.08473,1.070633,-30.5444,4.227753,0.5937508,0.5892665,0.9258968,-0.06164551,-0.09944153,0.9931183,33.42702,1.0977629999999998,-29.3136,4.356323000000001,0.4844877999999999,0.56965,-0.2253016,0.9271382,0.04153544,0.0236447999999999,0.2928447,-0.05626806,2.5707454967858063,0.04597221244535864,26.45447672923631
0,-0.09191895,-0.1269226,0.9876404,0.8967456,-0.09529114,-0.1299895999999999,0.9869232,-34.08473,1.070633,-30.5444,4.227753,0.5937508,0.5892665,0.9258968,-0.06164551,-0.09944153,0.9931183,33.42702,1.0977629999999998,-29.3136,4.356323000000001,0.4844877999999999,0.56965,-0.2253016,0.9271382,0.04153544,0.0236447999999999,0.2928447,-0.05626806,2.5707454967858063,0.04597221244535864,26.45447672923631
0,-0.09191895,-0.1269226,0.9876404,0.8967456,-0.09529114,-0.1299895999999999,0.9869232,-34.08473,1.070633,-30.5444,4.227753,0.5937508,0.5892665,0.9258968,-0.06164551,-0.09944153,0.9931183,33.42702,1.0977629999999998,-29.3136,4.356323000000001,0.4844877999999999,0.56965,-0.2253016,0.9271382,0.04153544,0.0236447999999999,0.2928447,-0.05626806,2.5707454967858063,0.04597221244535864,26.45447672923631
0,-0.09191895,-0.1269226,0.9876404,0.8967456,-0.09529114,-0.1299895999999999,0.9869232,-34.08473,1.070633,-30.5444,4.227753,0.5937508,0.5892665,0.9258968,-0.06164551,-0.09944153,0.9931183,33.42702,1.0977629999999998,-29.3136,4.356323000000001,0.4844877999999999,0.56965,-0.2253016,0.9271382,0.04153544,0.0236447999999999,0.2928447,-0.05626806,2.5707454967858063,0.04597221244535864,26.45447672923631
0,-0.06793213,-0.1100006,0.9915924,0.9320151,-0.08535767,-0.1302337999999999,0.987793,-34.06517,1.081238,-30.26094,4.225006,0.5910941999999999,0.5860708,0.9233811,-0.05487061,-0.09480286,0.9939728,33.462070000000004,1.128296,-29.24336,4.276962,0.4821457,0.5670124,-0.2252748999999999,0.9270965,0.04013869,0.02391052,0.2962424,-0.05643386,2.5707454967858063,0.04597221244535864,26.45447672923631
0,-0.06793213,-0.1100006,0.9915924,0.9320151,-0.08535767,-0.1302337999999999,0.987793,-34.06517,1.081238,-30.26094,4.225006,0.5910941999999999,0.5860708,0.9233811,-0.05487061,-0.09480286,0.9939728,33.462070000000004,1.128296,-29.24336,4.276962,0.4821457,0.5670124,-0.2252748999999999,0.9270965,0.04013869,0.02391052,0.2962424,-0.05643386,2.5707454967858063,0.04597221244535864,26.45447672923631
0,-0.06793213,-0.1100006,0.9915924,0.9320151,-0.08535767,-0.1302337999999999,0.987793,-34.06517,1.081238,-30.26094,4.225006,0.5910941999999999,0.5860708,0.9233811,-0.05487061,-0.09480286,0.9939728,33.462070000000004,1.128296,-29.24336,4.276962,0.4821457,0.5670124,-0.2252748999999999,0.9270965,0.04013869,0.02391052,0.2962424,-0.05643386,2.5707454967858063,0.04597221244535864,26.45447672923631
1,-0.04203796,-0.09237671,0.9948273,0.9010524,-0.0802002,-0.1347351,0.9876251,-34.06477,1.133133,-30.015590000000003,4.078369,0.5899587,0.5825562,0.8719059000000001,-0.04191589,-0.09223938,0.9948425,33.49005,1.234085,-29.09467,4.282013,0.479,0.5614275,-0.2252461,0.9271712,0.03809631,0.02395317,0.3011794,-0.05683602,2.5707454967858063,0.04597221244535864,26.45447672923631
1,-0.04203796,-0.09237671,0.9948273,0.9010524,-0.0802002,-0.1347351,0.9876251,-34.06477,1.133133,-30.015590000000003,4.078369,0.5899587,0.5825562,0.8719059000000001,-0.04191589,-0.09223938,0.9948425,33.49005,1.234085,-29.09467,4.282013,0.479,0.5614275,-0.2252461,0.9271712,0.03809631,0.02395317,0.3011794,-0.05683602,2.5707454967858063,0.04597221244535864,26.45447672923631
1,-0.04203796,-0.09237671,0.9948273,0.9010524,-0.0802002,-0.1347351,0.9876251,-34.06477,1.133133,-30.015590000000003,4.078369,0.5899587,0.5825562,0.8719059000000001,-0.04191589,-0.09223938,0.9948425,33.49005,1.234085,-29.09467,4.282013,0.479,0.5614275,-0.2252461,0.9271712,0.03809631,0.02395317,0.3011794,-0.05683602,2.5707454967858063,0.04597221244535864,26.45447672923631
1,-0.04022217,-0.1052551,0.9936218,0.9096594,-0.07528687,-0.1304625999999999,0.9885864,-34.08742,1.267365,-30.13815,3.97377,0.5900078000000001,0.5783553000000001,0.8516169,-0.03356934,-0.1004639,0.9943695,33.4765,1.277542,-29.07079,4.051636,0.4780680999999999,0.5609853,-0.2252092,0.9271851,0.03738111,0.02386405,0.3028683,-0.05691384,2.5707454967858063,0.04597221244535864,26.45447672923631
1,-0.04022217,-0.1052551,0.9936218,0.9096594,-0.07528687,-0.1304625999999999,0.9885864,-34.08742,1.267365,-30.13815,3.97377,0.5900078000000001,0.5783553000000001,0.8516169,-0.03356934,-0.1004639,0.9943695,33.4765,1.277542,-29.07079,4.051636,0.4780680999999999,0.5609853,-0.2252092,0.9271851,0.03738111,0.02386405,0.3028683,-0.05691384,2.5707454967858063,0.04597221244535864,26.45447672923631
1,-0.04022217,-0.1052551,0.9936218,0.9096594,-0.07528687,-0.1304625999999999,0.9885864,-34.08742,1.267365,-30.13815,3.97377,0.5900078000000001,0.5783553000000001,0.8516169,-0.03356934,-0.1004639,0.9943695,33.4765,1.277542,-29.07079,4.051636,0.4780680999999999,0.5609853,-0.2252092,0.9271851,0.03738111,0.02386405,0.3028683,-0.05691384,2.5707454967858063,0.04597221244535864,26.45447672923631
