Second,eye_comb_direction_x,eye_comb_direction_y,eye_comb_direction_z,eye_r_openness,eye_r_direction_x,eye_r_direction_y,eye_r_direction_z,eye_r_origin_x,eye_r_origin_y,eye_r_origin_z,eye_r_pupil_diameter,eye_r_pupil_position_x,eye_r_pupil_position_y,eye_l_openness,eye_l_direction_x,eye_l_direction_y,eye_l_direction_z,eye_l_origin_x,eye_l_origin_y,eye_l_origin_z,eye_l_pupil_diameter,eye_l_pupil_position_x,eye_l_pupil_position_y,head_position_x,head_position_y,head_position_z,head_rotation_roll,head_rotation_pitch,head_rotation_yaw,EDA,BVP,TMP
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151203475833736,4.2343998308844855,32.12965442242629
0,-0.1073761,0.134613,0.9850464,0.8623008,-0.06991577,0.1616211,0.9843597,-32.29239,-2.199814,-22.12024,5.281189,0.5242395,0.5689403,0.9666572,-0.1105347,0.1323242,0.9850159,30.45662,0.9375,-23.86639,5.353104,0.5910004,0.4870499,0.05173028,1.149607,0.1000507,0.1424785,-0.09040204,0.007972043,2.151203475833736,4.2343998308844855,32.12965442242629
1,-0.08087158,0.133728,0.9877014,0.7218766,-0.06924438,0.140564,0.9876404,-32.29572,-2.199814,-22.12024,5.268753,0.5242035,0.5722288,0.9010367,-0.09434509,0.1257629,0.9875488,30.40955,0.9407196,-23.85399,5.347122,0.589884,0.4878179,0.05224597,1.152385,0.09933889,0.1292639,-0.0880132,0.008451111,1.39948,4.2343998308844855,32.12965442242629
1,-0.08087158,0.133728,0.9877014,0.7218766,-0.06924438,0.140564,0.9876404,-32.29572,-2.199814,-22.12024,5.268753,0.5242035,0.5722288,0.9010367,-0.09434509,0.1257629,0.9875488,30.40955,0.9407196,-23.85399,5.347122,0.589884,0.4878179,0.05224597,1.152385,0.09933889,0.1292639,-0.0880132,0.008451111,1.39948,4.2343998308844855,32.12965442242629
1,-0.08087158,0.133728,0.9877014,0.7218766,-0.06924438,0.140564,0.9876404,-32.29572,-2.199814,-22.12024,5.268753,0.5242035,0.5722288,0.9010367,-0.09434509,0.1257629,0.9875488,30.40955,0.9407196,-23.85399,5.347122,0.589884,0.4878179,0.05224597,1.152385,0.09933889,0.1292639,-0.0880132,0.008451111,1.39948,4.2343998308844855,32.12965442242629
1,-0.08087158,0.133728,0.9877014,0.7218766,-0.06924438,0.140564,0.9876404,-32.29572,-2.199814,-22.12024,5.268753,0.5242035,0.5722288,0.9010367,-0.09434509,0.1257629,0.9875488,30.40955,0.9407196,-23.85399,5.347122,0.589884,0.4878179,0.05224597,1.152385,0.09933889,0.1292639,-0.0880132,0.008451111,1.39948,4.2343998308844855,32.12965442242629
1,-0.08087158,0.133728,0.9877014,0.7218766,-0.06924438,0.140564,0.9876404,-32.29572,-2.199814,-22.12024,5.268753,0.5242035,0.5722288,0.9010367,-0.09434509,0.1257629,0.9875488,30.40955,0.9407196,-23.85399,5.347122,0.589884,0.4878179,0.05224597,1.152385,0.09933889,0.1292639,-0.0880132,0.008451111,1.39948,4.2343998308844855,32.12965442242629
1,-0.08087158,0.133728,0.9877014,0.7218766,-0.06924438,0.140564,0.9876404,-32.29572,-2.199814,-22.12024,5.268753,0.5242035,0.5722288,0.9010367,-0.09434509,0.1257629,0.9875488,30.40955,0.9407196,-23.85399,5.347122,0.589884,0.4878179,0.05224597,1.152385,0.09933889,0.1292639,-0.0880132,0.008451111,1.39948,4.2343998308844855,32.12965442242629
1,-0.08087158,0.133728,0.9877014,0.7218766,-0.06924438,0.140564,0.9876404,-32.29572,-2.199814,-22.12024,5.268753,0.5242035,0.5722288,0.9010367,-0.09434509,0.1257629,0.9875488,30.40955,0.9407196,-23.85399,5.347122,0.589884,0.4878179,0.05224597,1.152385,0.09933889,0.1292639,-0.0880132,0.008451111,1.39948,4.2343998308844855,32.12965442242629
1,-0.08087158,0.133728,0.9877014,0.7218766,-0.06924438,0.140564,0.9876404,-32.29572,-2.199814,-22.12024,5.268753,0.5242035,0.5722288,0.9010367,-0.09434509,0.1257629,0.9875488,30.40955,0.9407196,-23.85399,5.347122,0.589884,0.4878179,0.05224597,1.152385,0.09933889,0.1292639,-0.0880132,0.008451111,1.39948,4.2343998308844855,32.12965442242629
