Second,eye_comb_direction_x,eye_comb_direction_y,eye_comb_direction_z,eye_r_openness,eye_r_direction_x,eye_r_direction_y,eye_r_direction_z,eye_r_origin_x,eye_r_origin_y,eye_r_origin_z,eye_r_pupil_diameter,eye_r_pupil_position_x,eye_r_pupil_position_y,eye_l_openness,eye_l_direction_x,eye_l_direction_y,eye_l_direction_z,eye_l_origin_x,eye_l_origin_y,eye_l_origin_z,eye_l_pupil_diameter,eye_l_pupil_position_x,eye_l_pupil_position_y,head_position_x,head_position_y,head_position_z,head_rotation_roll,head_rotation_pitch,head_rotation_yaw,EDA,BVP,TMP
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3951445920794507,0.16734461847229035,32.27917116233448
0,0.009216309,-0.4273834,0.904007,0.4926651,0.1469421,-0.07862854,0.9860077,-25.84184,4.446045,-24.07866,6.048431,0.2791531,0.4078279,0.8897871,0.001922607,-0.4440155,0.8960114,29.94151,7.232635,-27.37323,5.617035,0.5942439,0.404432,0.1143332,1.279937,-0.2529923,-0.08384293,0.05676794,-0.08998735,0.3951445920794507,0.16734461847229035,32.27917116233448
1,0.08041382,-0.2093964,0.9745026,0.5209953,0.1487274,-0.1781921,0.9726868,-26.00075,4.786743,-23.82582,6.172836,0.2844995,0.4109205,0.884166,0.03198242,-0.2306824,0.9724884,29.73936,6.221649,-27.81506,5.432999,0.5962235,0.4044491,0.1047928,1.282657,-0.2488838,-0.09437732,0.04643648,-0.08336375,0.350979,0.16734461847229035,32.27917116233448
1,0.08041382,-0.2093964,0.9745026,0.5209953,0.1487274,-0.1781921,0.9726868,-26.00075,4.786743,-23.82582,6.172836,0.2844995,0.4109205,0.884166,0.03198242,-0.2306824,0.9724884,29.73936,6.221649,-27.81506,5.432999,0.5962235,0.4044491,0.1047928,1.282657,-0.2488838,-0.09437732,0.04643648,-0.08336375,0.350979,0.16734461847229035,32.27917116233448
1,0.08041382,-0.2093964,0.9745026,0.5209953,0.1487274,-0.1781921,0.9726868,-26.00075,4.786743,-23.82582,6.172836,0.2844995,0.4109205,0.884166,0.03198242,-0.2306824,0.9724884,29.73936,6.221649,-27.81506,5.432999,0.5962235,0.4044491,0.1047928,1.282657,-0.2488838,-0.09437732,0.04643648,-0.08336375,0.350979,0.16734461847229035,32.27917116233448
1,0.08041382,-0.2093964,0.9745026,0.5209953,0.1487274,-0.1781921,0.9726868,-26.00075,4.786743,-23.82582,6.172836,0.2844995,0.4109205,0.884166,0.03198242,-0.2306824,0.9724884,29.73936,6.221649,-27.81506,5.432999,0.5962235,0.4044491,0.1047928,1.282657,-0.2488838,-0.09437732,0.04643648,-0.08336375,0.350979,0.16734461847229035,32.27917116233448
1,0.08041382,-0.2093964,0.9745026,0.5209953,0.1487274,-0.1781921,0.9726868,-26.00075,4.786743,-23.82582,6.172836,0.2844995,0.4109205,0.884166,0.03198242,-0.2306824,0.9724884,29.73936,6.221649,-27.81506,5.432999,0.5962235,0.4044491,0.1047928,1.282657,-0.2488838,-0.09437732,0.04643648,-0.08336375,0.350979,0.16734461847229035,32.27917116233448
1,0.08041382,-0.2093964,0.9745026,0.5209953,0.1487274,-0.1781921,0.9726868,-26.00075,4.786743,-23.82582,6.172836,0.2844995,0.4109205,0.884166,0.03198242,-0.2306824,0.9724884,29.73936,6.221649,-27.81506,5.432999,0.5962235,0.4044491,0.1047928,1.282657,-0.2488838,-0.09437732,0.04643648,-0.08336375,0.350979,0.16734461847229035,32.27917116233448
1,0.08041382,-0.2093964,0.9745026,0.5209953,0.1487274,-0.1781921,0.9726868,-26.00075,4.786743,-23.82582,6.172836,0.2844995,0.4109205,0.884166,0.03198242,-0.2306824,0.9724884,29.73936,6.221649,-27.81506,5.432999,0.5962235,0.4044491,0.1047928,1.282657,-0.2488838,-0.09437732,0.04643648,-0.08336375,0.350979,0.16734461847229035,32.27917116233448
1,0.08041382,-0.2093964,0.9745026,0.5209953,0.1487274,-0.1781921,0.9726868,-26.00075,4.786743,-23.82582,6.172836,0.2844995,0.4109205,0.884166,0.03198242,-0.2306824,0.9724884,29.73936,6.221649,-27.81506,5.432999,0.5962235,0.4044491,0.1047928,1.282657,-0.2488838,-0.09437732,0.04643648,-0.08336375,0.350979,0.16734461847229035,32.27917116233448
