Second,eye_comb_direction_x,eye_comb_direction_y,eye_comb_direction_z,eye_r_openness,eye_r_direction_x,eye_r_direction_y,eye_r_direction_z,eye_r_origin_x,eye_r_origin_y,eye_r_origin_z,eye_r_pupil_diameter,eye_r_pupil_position_x,eye_r_pupil_position_y,eye_l_openness,eye_l_direction_x,eye_l_direction_y,eye_l_direction_z,eye_l_origin_x,eye_l_origin_y,eye_l_origin_z,eye_l_pupil_diameter,eye_l_pupil_position_x,eye_l_pupil_position_y,head_position_x,head_position_y,head_position_z,head_rotation_roll,head_rotation_pitch,head_rotation_yaw,EDA,BVP,TMP
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18717535449204406,-0.1319886618653611,33.764905752753975
0,-0.03373718,-0.09814453,0.9945984,0.9732851,-0.04251099,-0.1172485,0.9921875,-30.83147,2.835815,-36.49854,4.827393,0.4729975,0.5852892,0.9911956,-0.0171814,-0.06202698,0.9979248,28.88397,3.927124,-31.96045,5.142532,0.6386236,0.491339,0.01101065,1.129669,-0.2598826,-0.02402616,0.6777633,0.03958035,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.02839661,-0.09249878,0.9953003,0.9501427,-0.03858948,-0.1211853,0.9918671,-30.8604,2.84317,-36.47125,4.847198,0.4733457,0.5854722,0.9782586,-0.0174408,-0.06166077,0.9979401,28.88544,3.90184,-31.91513,5.145889,0.6385478,0.4917352,0.01077354,1.129802,-0.2593648,-0.02391161,0.677281,0.04051181,0.18717535449204406,-0.1319886618653611,33.764905752753975
1,-0.01220703,-0.01615906,0.9997864,0.9940534,-0.06188965,-0.05804443,0.9963837,-31.02962,3.17215,-36.57004,4.323761,0.483774,0.5628961,0.9860438,0.003189087,-0.003158569,0.9999847,28.83308,4.161377,-31.84836,4.406967,0.6365183,0.4712079,0.01095927,1.129753,-0.2591366,-0.02332485,0.6765105,0.04094754,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.01220703,-0.01615906,0.9997864,0.9940534,-0.06188965,-0.05804443,0.9963837,-31.02962,3.17215,-36.57004,4.323761,0.483774,0.5628961,0.9860438,0.003189087,-0.003158569,0.9999847,28.83308,4.161377,-31.84836,4.406967,0.6365183,0.4712079,0.01095927,1.129753,-0.2591366,-0.02332485,0.6765105,0.04094754,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.01220703,-0.01615906,0.9997864,0.9940534,-0.06188965,-0.05804443,0.9963837,-31.02962,3.17215,-36.57004,4.323761,0.483774,0.5628961,0.9860438,0.003189087,-0.003158569,0.9999847,28.83308,4.161377,-31.84836,4.406967,0.6365183,0.4712079,0.01095927,1.129753,-0.2591366,-0.02332485,0.6765105,0.04094754,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.01220703,-0.01615906,0.9997864,0.9940534,-0.06188965,-0.05804443,0.9963837,-31.02962,3.17215,-36.57004,4.323761,0.483774,0.5628961,0.9860438,0.003189087,-0.003158569,0.9999847,28.83308,4.161377,-31.84836,4.406967,0.6365183,0.4712079,0.01095927,1.129753,-0.2591366,-0.02332485,0.6765105,0.04094754,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.01220703,-0.01615906,0.9997864,0.9940534,-0.06188965,-0.05804443,0.9963837,-31.02962,3.17215,-36.57004,4.323761,0.483774,0.5628961,0.9860438,0.003189087,-0.003158569,0.9999847,28.83308,4.161377,-31.84836,4.406967,0.6365183,0.4712079,0.01095927,1.129753,-0.2591366,-0.02332485,0.6765105,0.04094754,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.01220703,-0.01615906,0.9997864,0.9940534,-0.06188965,-0.05804443,0.9963837,-31.02962,3.17215,-36.57004,4.323761,0.483774,0.5628961,0.9860438,0.003189087,-0.003158569,0.9999847,28.83308,4.161377,-31.84836,4.406967,0.6365183,0.4712079,0.01095927,1.129753,-0.2591366,-0.02332485,0.6765105,0.04094754,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.1015167,-0.01585388,0.9947052,1.0,-0.1015472,-0.0158844,0.9946899,-31.16776,3.225388,-36.03477,4.081924,0.4958398,0.5479503,1.0,-0.05607605,0.04681396,0.9973145,28.56026,4.11972,-30.97839,4.255432,0.6554972,0.4558277,0.01088977,1.129708,-0.2591917,-0.02343512,0.6766769,0.04114865,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.1002502,-0.01483154,0.9948425,1.0,-0.1006927,-0.01548767,0.9947815,-31.17366,3.246902,-36.11043,4.075699,0.4959169,0.5478693,1.0,-0.05702209,0.04785156,0.9972229,28.56042,4.105255,-30.94374,4.246613,0.6556047,0.4558295,0.01089633,1.129705,-0.2592134,-0.02346324,0.6766796,0.04120791,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.1002502,-0.01483154,0.9948425,1.0,-0.1006927,-0.01548767,0.9947815,-31.17366,3.246902,-36.11043,4.075699,0.4959169,0.5478693,1.0,-0.05702209,0.04785156,0.9972229,28.56042,4.105255,-30.94374,4.246613,0.6556047,0.4558295,0.01089633,1.129705,-0.2592134,-0.02346324,0.6766796,0.04120791,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.08972168,-0.002593994,0.9959564,1.0,-0.09901428,-0.01779175,0.9949188,-31.18124,3.276779,-36.21132,4.034973,0.4959169,0.5481899,1.0,-0.05738831,0.04988098,0.9971008,28.56204,4.073425,-30.86195,4.226898,0.6554824,0.4558378,0.01089859,1.129731,-0.259267,-0.02350733,0.6766548,0.04133986,0.1870518,-0.1319886618653611,33.764905752753975
1,-0.06309509,0.04368591,0.9970398,1.0,-0.09693909,-0.02191162,0.9950409,-31.18974,3.326553,-36.39124,3.989868,0.4958946,0.5489146,1.0,-0.05844116,0.05262756,0.9968872,28.56726,4.015961,-30.69699,4.164032,0.6552112,0.4558313,0.01090264,1.129809,-0.2592199,-0.02371214,0.6766062,0.04159088,0.1870518,5.574614,33.764905752753975
1,-0.06309509,0.04368591,0.9970398,1.0,-0.09693909,-0.02191162,0.9950409,-31.18974,3.326553,-36.39124,3.989868,0.4958946,0.5489146,1.0,-0.05844116,0.05262756,0.9968872,28.56726,4.015961,-30.69699,4.164032,0.6552112,0.4558313,0.01090264,1.129809,-0.2592199,-0.02371214,0.6766062,0.04159088,0.1870518,5.574614,33.764905752753975
1,-0.0705719,0.029953,0.9970551,1.0,-0.09729004,-0.02204895,0.9950104,-31.19073,3.326553,-36.39124,3.981964,0.495994,0.5489388,1.0,-0.05851746,0.05322266,0.9968567,28.57166,4.012741,-30.69699,4.135788,0.6550586,0.4558313,0.01093817,1.129854,-0.259199,-0.02378806,0.6765785,0.04168,0.1870518,5.574614,33.764905752753975
1,-0.0705719,0.029953,0.9970551,1.0,-0.09729004,-0.02204895,0.9950104,-31.19073,3.326553,-36.39124,3.981964,0.495994,0.5489388,1.0,-0.05851746,0.05322266,0.9968567,28.57166,4.012741,-30.69699,4.135788,0.6550586,0.4558313,0.01093817,1.129854,-0.259199,-0.02378806,0.6765785,0.04168,0.1870518,5.574614,33.764905752753975
1,-0.07539368,0.01934814,0.9969635,1.0,-0.09703064,-0.02355957,0.9949951,-31.19165,3.328613,-36.40875,3.938522,0.495994,0.5492783,1.0,-0.0581665,0.05325317,0.9968719,28.57469,4.012741,-30.69781,4.133728,0.6548911,0.4558313,0.01100123,1.129907,-0.2591879,-0.0241258,0.6765544,0.04174858,0.1870518,5.574614,33.764905752753975
