Second,eye_comb_direction_x,eye_comb_direction_y,eye_comb_direction_z,eye_r_openness,eye_r_direction_x,eye_r_direction_y,eye_r_direction_z,eye_r_origin_x,eye_r_origin_y,eye_r_origin_z,eye_r_pupil_diameter,eye_r_pupil_position_x,eye_r_pupil_position_y,eye_l_openness,eye_l_direction_x,eye_l_direction_y,eye_l_direction_z,eye_l_origin_x,eye_l_origin_y,eye_l_origin_z,eye_l_pupil_diameter,eye_l_pupil_position_x,eye_l_pupil_position_y,head_position_x,head_position_y,head_position_z,head_rotation_roll,head_rotation_pitch,head_rotation_yaw,EDA,BVP,TMP
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19988892719149964,1.6117218335648393,31.38601787007969
0,-0.01985168,0.019104,0.9996185,0.8453462,-0.01277161,0.03422546,0.9993286,-28.97948,8.425049,-37.6001,5.160828,0.4008604,0.3652152,0.9441656,-0.03059387,-0.003829956,0.9995117,32.70178,8.865601,-43.74391,4.597198,0.509595,0.4101401,0.0007374287,1.262217,-0.3561406,0.02587545,0.03391007,-0.007673942,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.02178955,0.014328,0.999649,0.8430849,-0.01179504,0.03373718,0.9993591,-28.97987,8.425537,-37.59302,5.194748,0.4006864,0.3652152,0.9392812,-0.03126526,-0.004089355,0.9994965,32.70105,8.867355,-43.74481,4.595032,0.5097513,0.4101401,0.001160026,1.262602,-0.3571556,0.02412333,0.03533951,-0.008116528,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.003738403,0.00932312,0.999939,0.7384668,-0.003738403,0.00932312,0.999939,-28.9399,8.468582,-37.97346,5.156189,0.3975812,0.3714786,0.9133538,0.007629395,-0.03681946,0.9992828,32.89989,9.151962,-44.93391,4.515671,0.4947066,0.4169497,0.003400326,1.262413,-0.3571323,0.02477607,0.03815259,-0.01096393,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.003738403,0.00932312,0.999939,0.7384668,-0.003738403,0.00932312,0.999939,-28.9399,8.468582,-37.97346,5.156189,0.3975812,0.3714786,0.9133538,0.007629395,-0.03681946,0.9992828,32.89989,9.151962,-44.93391,4.515671,0.4947066,0.4169497,0.003400326,1.262413,-0.3571323,0.02477607,0.03815259,-0.01096393,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.003738403,0.00932312,0.999939,0.7384668,-0.003738403,0.00932312,0.999939,-28.9399,8.468582,-37.97346,5.156189,0.3975812,0.3714786,0.9133538,0.007629395,-0.03681946,0.9992828,32.89989,9.151962,-44.93391,4.515671,0.4947066,0.4169497,0.003400326,1.262413,-0.3571323,0.02477607,0.03815259,-0.01096393,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.003738403,0.00932312,0.999939,0.7384668,-0.003738403,0.00932312,0.999939,-28.9399,8.468582,-37.97346,5.156189,0.3975812,0.3714786,0.9133538,0.007629395,-0.03681946,0.9992828,32.89989,9.151962,-44.93391,4.515671,0.4947066,0.4169497,0.003400326,1.262413,-0.3571323,0.02477607,0.03815259,-0.01096393,0.19988892719149964,1.6117218335648393,31.38601787007969
1,-0.003738403,0.00932312,0.999939,0.7384668,-0.003738403,0.00932312,0.999939,-28.9399,8.468582,-37.97346,5.156189,0.3975812,0.3714786,0.9133538,0.007629395,-0.03681946,0.9992828,32.89989,9.151962,-44.93391,4.515671,0.4947066,0.4169497,0.003400326,1.262413,-0.3571323,0.02477607,0.03815259,-0.01096393,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.003646851,-0.01838684,0.9998169,0.8271751,-0.004180908,-0.004898071,0.9999695,-28.92319,8.416275,-37.87924,5.080872,0.3971638,0.3752306,0.9411553,0.01420593,-0.03652954,0.9992218,32.93495,9.064255,-44.76755,4.590637,0.4920094,0.4187205,0.003297687,1.26239,-0.3572239,0.02483374,0.03763746,-0.01075259,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.003646851,-0.01838684,0.9998169,0.8271751,-0.004180908,-0.004898071,0.9999695,-28.92319,8.416275,-37.87924,5.080872,0.3971638,0.3752306,0.9411553,0.01420593,-0.03652954,0.9992218,32.93495,9.064255,-44.76755,4.590637,0.4920094,0.4187205,0.003297687,1.26239,-0.3572239,0.02483374,0.03763746,-0.01075259,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.00491333,-0.02484131,0.9996643,0.8161693,0.002502441,-0.005020142,0.9999695,-28.9223,8.348358,-37.64124,4.999496,0.3961184,0.375636,0.9412104,0.006134033,-0.03482056,0.9993591,32.93488,8.988861,-44.51762,4.572556,0.4935302,0.4188761,0.00333178,1.262362,-0.3572602,0.02479831,0.03738681,-0.01069562,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.001953125,-0.01379395,0.9998932,0.8446746,0.0001678467,-0.004302979,0.9999847,-28.91962,8.43425,-37.96971,4.950211,0.3962486,0.3752561,0.9519113,0.006835938,-0.03970337,0.999176,32.9283,8.954941,-44.40062,4.424637,0.4936228,0.4199713,0.003332734,1.262381,-0.3572767,0.02475169,0.03726005,-0.01071997,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.002624512,-0.012146,0.9999084,0.8530388,-0.002380371,-0.003768921,0.9999847,-28.92491,8.345276,-37.63264,4.961182,0.3971184,0.3754596,0.9499763,0.01699829,-0.03619385,0.9991913,32.92801,8.983292,-44.51915,4.464661,0.491693,0.4193364,0.003295779,1.262456,-0.3573166,0.02462646,0.03707905,-0.01077197,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.002624512,-0.012146,0.9999084,0.8530388,-0.002380371,-0.003768921,0.9999847,-28.92491,8.345276,-37.63264,4.961182,0.3971184,0.3754596,0.9499763,0.01699829,-0.03619385,0.9991913,32.92801,8.983292,-44.51915,4.464661,0.491693,0.4193364,0.003295779,1.262456,-0.3573166,0.02462646,0.03707905,-0.01077197,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.01171875,-0.02674866,0.9995728,0.862156,-0.007385254,-0.003860474,0.9999542,-28.91826,8.335266,-37.61743,4.97702,0.3977775,0.375734,0.9475814,0.01644897,-0.03240967,0.9993286,32.93138,8.964462,-44.47444,4.446472,0.4916612,0.4188793,0.003273368,1.262481,-0.3573325,0.02454221,0.03698529,-0.01081477,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.01113892,-0.0297699,0.9994812,0.8584494,-0.005493164,-0.00378418,0.9999695,-28.9194,8.327652,-37.59125,4.996201,0.3974886,0.3757538,0.9519859,0.01417542,-0.03450012,0.9992981,32.9333,8.954865,-44.44464,4.449051,0.4920168,0.419379,0.003298283,1.262574,-0.3573205,0.02417146,0.03691916,-0.01107885,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.01113892,-0.0297699,0.9994812,0.8584494,-0.005493164,-0.00378418,0.9999695,-28.9194,8.327652,-37.59125,4.996201,0.3974886,0.3757538,0.9519859,0.01417542,-0.03450012,0.9992981,32.9333,8.954865,-44.44464,4.449051,0.4920168,0.419379,0.003298283,1.262574,-0.3573205,0.02417146,0.03691916,-0.01107885,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.00982666,-0.03320313,0.9993896,0.864408,-0.007064819,-0.003417969,0.9999542,-28.92003,8.326126,-37.60997,4.997818,0.397783,0.3759201,0.9631916,0.01374817,-0.0401001,0.9990997,32.93515,8.945572,-44.4238,4.392151,0.4920168,0.4206202,0.003316879,1.26262,-0.3573202,0.02405993,0.03681184,-0.01109699,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.002532959,-0.01400757,0.9998932,0.8738078,-0.004470825,-0.003585815,0.9999695,-28.91856,8.320923,-37.60249,4.977646,0.3972765,0.3760666,0.9628396,0.01422119,-0.03135681,0.9994049,32.94165,8.974701,-44.61137,4.235962,0.4917024,0.4195387,0.003278494,1.262671,-0.3573442,0.02371214,0.03680759,-0.01104922,0.19988892719149964,1.6117218335648393,31.38601787007969
1,0.002532959,-0.01400757,0.9998932,0.8738078,-0.004470825,-0.003585815,0.9999695,-28.91856,8.320923,-37.60249,4.977646,0.3972765,0.3760666,0.9628396,0.01422119,-0.03135681,0.9994049,32.94165,8.974701,-44.61137,4.235962,0.4917024,0.4195387,0.003278494,1.262671,-0.3573442,0.02371214,0.03680759,-0.01104922,0.19988892719149964,1.6117218335648393,31.38601787007969
